"Judge Name","Country","Tenure","Role","Role Length"
"Darian PAVLI","ALBANIA","2019-","",""
"Ledi BIANKU","ALBANIA ","2008-2019","",""
"Kristaq TRAJA","ALBANIA","1998-2008","",""
"Canòlic MINGORANCE CAIRAT","ANDORRA","2025","",""
"Pere PASTOR VILANOVA","ANDORRA","2015-2024","",""
"Josep CASADEVALL","ANDORRA","1996-2015","",""
"Vahe GRIGORYAN","ARMENIA","2025-","",""
"Armen HARUTYUNYAN","ARMENIA","2015-2025","",""
"Alvina GYULUMYAN","ARMENIA","2003-2014","",""
"András JAKAB","AUSTRIA","2024-","",""
"Gabriele KUCSKO-STADLMAYER","AUSTRIA","2015-2024","",""
"Elisabeth STEINER","AUSTRIA","2001-2015","",""
"Willi FUHRMANN","AUSTRIA","1998-2001","",""
"Franz MATSCHER","AUSTRIA","1977-1998","",""
"Alfred VERDROSS","AUSTRIA","1959-1977","",""
"Lətif HÜSEYNOV","AZERBAIJAN","2017-","",""
"Khanlar HAJIYEV","AZERBAIJAN","2003-2016","",""
"Frédéric KRENC","BELGIUM","2021-","",""
"Paul LEMMENS","BELGIUM","2012-2021","",""
"Françoise TULKENS","BELGIUM","1998-2012","",""
"Jan DE MEYER","BELGIUM","1986-1998","",""
"Walter-Jean GANSHOF VAN DER MEERSCH","BELGIUM","1973-1986","",""
"Henri ROLIN","BELGIUM","1959-1973","President","1968-1971"
"Faris VEHABOVIĆ","BOSNIA AND HERZEGOVINA","2012-","",""
"Ljiljana MIJOVIĆ","BOSNIA AND HERZEGOVINA","2004-2011","",""
"Diana KOVATCHEVA","BULGARIA","2024-","",""
"Yonko GROZEV","BULGARIA","2015-2024","",""
"Zdravka KALAYDJIEVA","BULGARIA","2008-2015","",""
"Snejana BOTOUCHAROVA","BULGARIA","1998-2008","",""
"Dimitar GOTCHEV","BULGARIA","1992-1998","",""
"Davor DERENČINOVIĆ","CROATIA","2022-","",""
"Ksenija TURKOVIĆ","CROATIA","2013-2022","",""
"Nina VAJIĆ","CROATIA","1998-2012","",""
"Georgios SERGHIDES","CYPRUS","2016-","",""
"George NICOLAOU","CYPRUS","2008-2016","",""
"Loukis LOUCAIDES","CYPRUS","1998-2008","",""
"Andreas Nicolas LOIZOU","CYPRUS","1990-1998","",""
"Mehmed ZΕΚΙΑ","CYPRUS","1961-1984","",""
"Kateřina ŠIMÁČKOVÁ","CZECH REPUBLIC","2021-","",""
"Aleš PEJCHAL","CZECH REPUBLIC","2012-2021","",""
"Karel JUNGWIERT","CZECH REPUBLIC","1993-2012","",""
"Anne Louise BORMANN","DENMARK","2023-","",""
"Jon Fridrik KJØLBRO","DENMARK","2014-2022","",""
"Peer LORENZEN","DENMARK","1998-2014","",""
"Isi FOIGHEL","DENMARK","1989-1998","",""
"Jørgen GERSING","DENMARK","1982-1988","",""
"Max SØRENSEN","DENMARK","1980-1981","",""
"Helga PEDERSEN","DENMARK","1971-1980","",""
"Alf Niels Christian ROSS","DENMARK","1959-1971","",""
"Peeter ROOSMA","ESTONIA","2020-","",""
"Julia LAFFRANQUE","ESTONIA","2011-2020","",""
"Rait MARUSTE","ESTONIA","1998-2010","",""
"Uno LÕHMUS","ESTONIA","1994-1998","",""
"Juha LAVAPURO","FINLAND","2025-","",""
"Pauliine KOSKELO","FINLAND","2016-2024","",""
"Päivi HIRVELÄ","FINLAND","2007-2015","",""
"Matti PELLONPÄÄ","FINLAND","1998-2006","",""
"Raimo PEKKANEN","FINLAND","1989-1998","",""
"Mattias GUYOMAR","FRANCE","2020-","President","2025-"
"André POTOCKI","FRANCE","2011-2020","",""
"Jean-Paul COSTA","FRANCE","1998-2011","President","2007-2011"
"Louis-Edmond PETTITI","FRANCE","1980-1998","",""
"Pierre-Henri TEITGEN","FRANCE","1976-1980","",""
"René Samuel CASSIN","FRANCE","1959-1976","President","1965-1968"
"Lado CHANTURIA","GEORGIA","2018-","",""
"Nona TSOTSORIA","GEORGIA","2008-2018","",""
"Mindia UGREKHELIDZE","GEORGIA","1999-2008","",""
"Anja SEIBERT-FOHR","GERMANY","2020-","",""
"Angelika NUSSBERGER","GERMANY","2011-2019","",""
"Renate JAEGER","GERMANY","2004-2010","",""
"Georg RESS","GERMANY","1998-2004","",""
"Rudolf BERNHARDT","GERMANY","1981-1998","President","1998"
"Hermann MOSLER","GERMANY","1959-1980","",""
"Ioannis KTISTAKIS","GREECE","2021-","",""
"Linos-Alexandre SICILIANOS","GREECE","2011-2021","President","2019-2020"
"Christos ROZAKIS","GREECE","1998-2011","",""
"Nicolas VALTICOS","GREECE","1986-1998","",""
"Dimitris EVRIGENIS","GREECE","1975-1986","",""
"Georges MARIDAKIS","GREECE","1959-1970","",""
"Péter PACZOLAY","HUNGARY","2017-","",""
"András SAJÓ","HUNGARY","2008-2017","",""
"András BAKA","HUNGARY","1991-2008","",""
"Oddný Mjöll ARNARDÓTTIR","ICELAND","2023-","",""
"Robert SPANO","ICELAND","2013-2022","President","2020-2022"
"Davíd THÓR BJÖRGVINSSON","ICELAND","2004-2013","",""
"Gaukur JÖRUNDSSON","ICELAND","1998-2004","",""
"Thór VILHJÁLMSSON","ICELAND","1971-1998","",""
"Sigurgeir SIGURJONSSON","ICELAND","1961-1971","",""
"Einar ARNALDS","ICELAND","1959-1967","",""
"Úna NÍ RAIFEARTAIGH","IRELAND","2024-","",""
"Síofra O'LEARY","IRELAND","2015-2024","President","2022-2024"
"Ann POWER-FORDE","IRELAND","2008-2014","",""
"John HEDIGAN","IRELAND","1998-2007","",""
"Brian WALSH","IRELAND","1980-1998","",""
"Philip O'DONOGHUE","IRELAND","1971-1980","",""
"Conor Alexander MAGUIRE","IRELAND","1965-1971","",""
"Richard McGONIGAL","IRELAND","1959-1964","",""
"Raffaelo SABATO","ITALY","2019-","",""
"Guido RAIMONDI","ITALY","2010-2019","President","2015-2019"
"Vladimiro ZAGREBELSKY","ITALY","2001-2010","",""
"Benedetto CONFORTI","ITALY","1998-2001","",""
"Carlo RUSSO","ITALY","1981-1998","",""
"Giorgio BALLADORE PALLIERI","ITALY","1959-1980","President","1974-1980"
"Artūrs KUČS","LATVIA","2024-","",""
"Mārtiņš MITS","LATVIA","2015-2024","",""
"Ineta ZIEMELE","LATVIA","2005-2014","",""
"Egils LEVITS","LATVIA","1995-2004","",""
"Alain CHABLAIS","LIECHTENSTEIN","2024-","",""
"Carlo RANZONI","LIECHTENSTEIN","2015-2024","",""
"Mark VILLIGER","LIECHTENSTEIN","2006-2015","",""
"Lucius CAFLISCH","LIECHTENSTEIN","1998-2006","",""
"Ronald St. John MACDONALD","LIECHTENSTEIN","1980-1998","",""
"Gediminas SAGATYS","LITHUANIA","2024-","",""
"Egidijus KŪRIS","LITHUANIA","2013-2024","",""
"Danutė JOČIENĖ","LITHUANIA","2004-2013","",""
"Pranas KŪRIS","LITHUANIA","1994-2004","",""
"Stéphane PISANI","LUXEMBOURG","2024-","",""
"Georges RAVARANI","LUXEMBOURG","2015-2024","",""
"Dean SPIELMANN","LUXEMBOURG","2004-2015","President","2012-2015"
"Marc FISCHBACH","LUXEMBOURG","1998-2004","",""
"Alphonse SPIELMANN","LUXEMBOURG","1985-1998","",""
"Léon LIESCH","LUXEMBOURG","1977-1985","",""
"Henri DELVAUX","LUXEMBOURG","1976-1977","",""
"Eugène RODENBOURG","LUXEMBOURG","1959-1975","",""
"Lorraine SCHEMBRI ORLAND","MALTA","2019-","",""
"Vincent A. DE GAETANO","MALTA","2010-2019","",""
"Giovanni BONELLO","MALTA","1998-2010","",""
"Giuseppe MIFSUD BONNICI","MALTA","1992-1998","",""
"John CREMΟΝΑ","MALTA","1965-1992","",""
"Diana SÂRCU","REPUBLIC OF MOLDOVA","2021-","",""
"Valeriu GRITCO","REPUBLIC OF MOLDOVA","2012-2021","",""
"Mihai POALELUNGI","REPUBLIC OF MOLDOVA","2008-2012","",""
"Stanislav PAVLOVSCHI","REPUBLIC OF MOLDOVA","2001-2008","",""
"Tudor PANTÎRU","REPUBLIC OF MOLDOVA","1996-2001","",""
"Sébastien BIANCHERI","MONACO","2025-","",""
"Stéphanie MOUROU-VIKSTRÖM","MONACO","2015-2025","",""
"Isabelle BERRO","MONACO","2006-2015","",""
"Ivana JELIĆ","MONTENEGRO","2018-","",""
"Nebojša VUČINIĆ","MONTENEGRO","2008-2018","",""
"Jolien SCHUKKING","NETHERLANDS","2017-","",""
"Johannes SILVIS","NETHERLANDS","2012-2016","",""
"Egbert MYJER","NETHERLANDS","2004-2012","",""
"Wilhelmina THOMASSEN","NETHERLANDS","1998-2004","",""
"Pieter VAN DIJK","NETHERLANDS","1996-1998","",""
"Sibrand Karel MARTENS","NETHERLANDS","1988-1996","",""
"André DONNER","NETHERLANDS","1986-1987","",""
"Gérard J. WIARDA","NETHERLANDS","1966-1985","President","1981-1985"
"Baron Frederik Mari VAN ASBECK","NETHERLANDS","1959-1966","",""
"Jovan ILIEVSKI","NORTH MACEDONIA","2017-","",""
"Mirjana LAZAROVA TRAJKOVSKA","NORTH MACEDONIA","2008-2017","",""
"Margarita TSATSA-NIKOLOVSKA","NORTH MACEDONIA","1998-2008","",""
"Arnfinn BÅRDSEN","NORWAY","2019-","",""
"Erik MØSE","NORWAY","2011-2018","",""
"Sverre Erik JEBENS","NORWAY","2004-2011","",""
"Hanne Sophie GREVE","NORWAY","1998-2004","",""
"Rolv RYSSDAL (President: 30.05.1985-18.02.1998)","NORWAY","1973-1998","",""
