individual_appno,ecli,itemid
272/57,ECLI:CE:ECHR:1958:0322DEC000027257,001-189674
262/57,ECLI:CE:ECHR:1957:0828DEC000026257,001-82184
172/56,ECLI:CE:ECHR:1957:1220DEC000017256,001-170091
343/57,ECLI:CE:ECHR:1959:0902DEC000034357,001-158874
434/58,ECLI:CE:ECHR:1959:0630DEC000043458,001-117006
441/58,ECLI:CE:ECHR:1959:0707DEC000044158,001-161906
369/58,ECLI:CE:ECHR:1959:0706DEC000036958,001-108082
332/57,ECLI:CE:ECHR:1961:0701JUD000033257,001-62076
332/57,ECLI:CE:ECHR:1961:0701JUD000033257,001-57518
332/57,ECLI:CE:ECHR:1961:0701JUD000033257,001-114875
332/57,ECLI:CE:ECHR:1961:0701JUD000033257,001-103913
332/57,ECLI:CE:ECHR:1961:0701JUD000033257,001-187897
332/57,ECLI:CE:ECHR:1961:0701JUD000033257,001-112951
332/57,ECLI:CE:ECHR:1961:0701JUD000033257,001-103914
332/57,ECLI:CE:ECHR:1961:0701JUD000033257,001-94666
332/57,ECLI:CE:ECHR:1961:0701JUD000033257,001-165129
788/60,ECLI:CE:ECHR:1961:0111DEC000078860,001-27972
788/60,ECLI:CE:ECHR:1961:0111DEC000078860,001-115598
1159/61,ECLI:CE:ECHR:1962:0312DEC000115961,001-2953
1013/61,ECLI:CE:ECHR:1962:0310DEC000101361,001-2951
808/60,ECLI:CE:ECHR:1962:0308DEC000080860,001-3193
913/60,ECLI:CE:ECHR:1961:1219DEC000091360,001-3194
599/59,ECLI:CE:ECHR:1961:1214DEC000059959,001-3188
1127/61,ECLI:CE:ECHR:1961:0919DEC000112761,001-2952
1103/61,ECLI:CE:ECHR:1962:0312DEC000110361,001-27867
945/60,ECLI:CE:ECHR:1962:0310DEC000094560,001-27976
899/60,ECLI:CE:ECHR:1962:0309DEC000089960,001-27973
1270/61,ECLI:CE:ECHR:1962:0308DEC000127061,001-27874
1237/61,ECLI:CE:ECHR:1962:0305DEC000123761,001-27873
1008/61,ECLI:CE:ECHR:1962:0305DEC000100861,001-27863
1197/61,ECLI:CE:ECHR:1962:0305DEC000119761,001-27872
1098/61,ECLI:CE:ECHR:1961:1219DEC000109861,001-27866
1140/61,ECLI:CE:ECHR:1961:1219DEC000114061,001-27869
1134/61,ECLI:CE:ECHR:1961:1219DEC000113461,001-27868
914/60,ECLI:CE:ECHR:1961:1216DEC000091460,001-27975
968/61,ECLI:CE:ECHR:1961:1214DEC000096861,001-27977
1068/61,ECLI:CE:ECHR:1962:1214DEC000106861,001-170089
911/60,ECLI:CE:ECHR:1961:0410DEC000091160,001-170095
1068/61,ECLI:CE:ECHR:1962:1214DEC000106861,001-170124
892/60,ECLI:CE:ECHR:1961:0413DEC000089260,001-172130
911/60,ECLI:CE:ECHR:1961:0410DEC000091160,001-170125
1622/62,ECLI:CE:ECHR:1964:0708DEC000162262,001-165764
1936/63,ECLI:CE:ECHR:1964:0706DEC000193663,001-2965
2122/64,ECLI:CE:ECHR:1964:0702DEC000212264,001-2976
2002/63,ECLI:CE:ECHR:1964:0702DEC000200263,001-2967
2136/64,ECLI:CE:ECHR:1964:0418DEC000213664,001-2977
2038/63,ECLI:CE:ECHR:1964:0306DEC000203863,001-2970
1739/62,ECLI:CE:ECHR:1964:0302DEC000173962,001-2960
1452/62,ECLI:CE:ECHR:1963:1218DEC000145262,001-2956
1918/63,ECLI:CE:ECHR:1963:1218DEC000191863,001-2964
1167/61,ECLI:CE:ECHR:1963:1216DEC000116761,001-2954
1747/62,ECLI:CE:ECHR:1963:1213DEC000174762,001-2961
1418/62,ECLI:CE:ECHR:1963:0621DEC000141862,001-2955
2178/64,ECLI:CE:ECHR:1964:1216DEC000217864,001-27895
2169/64,ECLI:CE:ECHR:1964:1002DEC000216964,001-27894
2204/64,ECLI:CE:ECHR:1964:1002DEC000216964,001-27894
2326/64,ECLI:CE:ECHR:1964:1002DEC000216964,001-27894
1931/63,ECLI:CE:ECHR:1964:1002DEC000193163,001-27886
1420/62,ECLI:CE:ECHR:1963:1218DEC000142062,001-27877
1477/62,ECLI:CE:ECHR:1963:1218DEC000142062,001-27877
1478/62,ECLI:CE:ECHR:1963:1218DEC000142062,001-27877
1488/62,ECLI:CE:ECHR:1963:1218DEC000148862,001-27879
1322/62,ECLI:CE:ECHR:1963:1214DEC000132262,001-27875
1169/61,ECLI:CE:ECHR:1963:0924DEC000116961,001-27871
2303/64,ECLI:CE:ECHR:1966:1217DEC000230364,001-2987
2116/64,ECLI:CE:ECHR:1966:1217DEC000211664,001-2975
2413/65,ECLI:CE:ECHR:1966:1216DEC000241365,001-2998
2749/66,ECLI:CE:ECHR:1966:1007DEC000274966,001-3023
2424/65,ECLI:CE:ECHR:1966:0524DEC000242465,001-2999
1894/63,ECLI:CE:ECHR:1966:0523DEC000189463,001-2963
2029/63,ECLI:CE:ECHR:1966:0523DEC000189463,001-2963
2094/63,ECLI:CE:ECHR:1966:0523DEC000189463,001-2963
2217/64,ECLI:CE:ECHR:1966:0523DEC000189463,001-2963
2516/65,ECLI:CE:ECHR:1966:0523DEC000251665,001-3005
1821/63,ECLI:CE:ECHR:1966:0209DEC000182163,001-2962
1822/63,ECLI:CE:ECHR:1966:0209DEC000182163,001-2962
2518/65,ECLI:CE:ECHR:1965:1214DEC000251865,001-3006
1983/63,ECLI:CE:ECHR:1965:1213DEC000198363,001-2966
2114/64,ECLI:CE:ECHR:1965:1210DEC000211464,001-2974
2213/64,ECLI:CE:ECHR:1966:0712DEC000221364,001-27898
1794/63,ECLI:CE:ECHR:1966:0523DEC000179463,001-27881
1850/63,ECLI:CE:ECHR:1966:0329DEC000185063,001-27882
2208/64,ECLI:CE:ECHR:1966:0214DEC000220864,001-27896
2120/64,ECLI:CE:ECHR:1966:0214DEC000212064,001-27890
2120/64,ECLI:CE:ECHR:1965:1217DEC000212064,001-27891
2145/64,ECLI:CE:ECHR:1965:1001DEC000214564,001-27893
1611/62,ECLI:CE:ECHR:1965:0925DEC000161162,001-82912
1611/62,ECLI:CE:ECHR:1965:0925DEC000161162,001-82185
1852/63,ECLI:CE:ECHR:1965:0422DEC000185263,001-124363
1718/62,ECLI:CE:ECHR:1965:0422DEC000171862,001-170122
1753/63,ECLI:CE:ECHR:1965:0215DEC000175363,001-170085
1718/62,ECLI:CE:ECHR:1965:0422DEC000171862,001-170086
1753/63,ECLI:CE:ECHR:1965:0215DEC000175363,001-170123
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-62102
2122/64,ECLI:CE:ECHR:1968:0627JUD000212264,001-62151
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-57544
2122/64,ECLI:CE:ECHR:1968:0627JUD000212264,001-57595
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-188026
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-165135
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-94436
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-104027
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-104028
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-94743
2122/64,ECLI:CE:ECHR:1968:0627JUD000212264,001-105888
