normalising 10 O2 output(s)
  in:  results/experiment_arms_20260823_223700/nochunk_ttl_mv1/raw
  out: results/jurix_compare/norm/o2
  input.L1: 9 proceeding(s), 0.09s
  input.L10: 22 proceeding(s), 0.01s
  input.L2: 2 proceeding(s), 0.01s
  input.L3: 9 proceeding(s), 0.01s
  input.L4: 5 proceeding(s), 0.01s
  input.L5: 7 proceeding(s), 0.01s
  input.L6: 7 proceeding(s), 0.01s
  input.L7: 4 proceeding(s), 0.01s
  input.L8: 7 proceeding(s), 0.01s
  input.L9: 4 proceeding(s), 0.01s

O2: 76 proceeding(s) across 10 document(s) in 0.2s
