condition O0: 10 document(s)
  model:  gemma-4-31b @ http://localhost:8000/v1
  output: results/jurix_compare/o0
  input.L1: 5.7s, 472 completion tokens
  input.L2: 5.3s, 449 completion tokens
  input.L3: 7.1s, 622 completion tokens
  input.L4: 6.1s, 542 completion tokens
  input.L5: 5.8s, 499 completion tokens
  input.L6: 6.9s, 602 completion tokens
  input.L7: 5.2s, 459 completion tokens
  input.L8: 7.6s, 680 completion tokens
  input.L9: 5.6s, 503 completion tokens
  input.L10: 11.1s, 884 completion tokens

O0 complete in 66.3s
