
repaired  (results/jurix_phase1/o2_low_jsonld/repaired)
  file                          conforms  violations  warnings
  input.L1.facts.ttl               False          12         0
  input.L10.facts.ttl              False          19         0
  input.L2.facts.ttl               False           8         0
  input.L3.facts.ttl               False          21         8
  input.L4.facts.ttl               False          17         0
  input.L5.facts.ttl               False          15         0
  input.L6.facts.ttl               False           7         0
  input.L7.facts.ttl               False           4         0
  input.L8.facts.ttl               False           9         0
  input.L9.facts.ttl               False           2         0
  TOTAL                             0/10         114         8
