
repaired  (results/jurix_phase1/o2_low_ttl/repaired)
  file                          conforms  violations  warnings
  input.L1.facts.ttl               False           9         0
  input.L10.facts.ttl              False          22         0
  input.L2.facts.ttl               False           5         0
  input.L3.facts.ttl               False          20         0
  input.L4.facts.ttl               False           8         3
  input.L5.facts.ttl               False           5         0
  input.L6.facts.ttl               False           2         0
  input.L7.facts.ttl               False           2         0
  input.L8.facts.ttl               False          21         0
  input.L9.facts.ttl               False           6         0
  TOTAL                             0/10         100         3
