
repaired  (results/jurix_phase1_gpt5mini/o2_large_jsonld/repaired)
  file                          conforms  violations  warnings
  input.L1.facts.ttl               False          17         0
  input.L10.facts.ttl              False           2         0
  input.L2.facts.ttl                True           0         0
  input.L3.facts.ttl                True           0         0
  input.L4.facts.ttl                True           0         0
  input.L5.facts.ttl                True           0         0
  input.L6.facts.ttl               False           0         1
  input.L7.facts.ttl                True           0         0
  input.L8.facts.ttl                True           0         0
  input.L9.facts.ttl                True           0         0
  TOTAL                             7/10          19         1
