
repaired  (results/experiment_partfix_20260819_224500/gemma4/repaired)
  file                          conforms  violations  warnings
  input.L1.facts.ttl                True           0         0
  input.L10.facts.ttl               True           0         0
  input.L2.facts.ttl                True           0         0
  input.L3.facts.ttl               False           2         0
  input.L4.facts.ttl                True           0         0
  input.L5.facts.ttl                True           0         0
  input.L6.facts.ttl                True           0         0
  input.L7.facts.ttl                True           0         0
  input.L8.facts.ttl                True           0         0
  input.L9.facts.ttl               False           1         0
  TOTAL                             8/10           3         0
